Time,integrated_flux_mod,integrated_flux_s9_mod,integrated_flux_s10_mod,integrated_flux_s11_mod,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
2025-06-30 18:56:39.893,2151672.6659056614,,18078069.217632204,1178766.607499308,1275779.4810693283,198690.981345076,-100708.09334227408
2025-06-30 18:56:44.893,838125.5244921416,,9359916.05091557,,1275779.4708841317,198692.39772994313,-100708.01361336204
2025-06-30 18:56:49.893,,,3087733.341256012,,1275779.460698625,198693.81416986044,-100707.9338807548
2025-06-30 18:56:54.893,409399.4799883859,,2910998.2557544988,546380.3057821386,1275779.450513587,198695.2305515298,-100707.8541507136
2025-06-30 18:56:59.893,,100.47611484017196,,,1275779.440328657,198696.6469315617,-100707.77442014229
2025-06-30 18:57:04.893,299211.08377641556,,2095024.240333507,999174.250117523,1275779.4301436227,198698.06333832527,-100707.69468743552
2025-06-30 18:57:09.893,,,2982852.67288805,,1275779.4199590166,198699.4796868205,-100707.61495730345
2025-06-30 18:57:14.893,,,,,1275779.4097742578,198700.8960903678,-100707.53522349411
2025-06-30 18:57:19.894,,,1448804.7142397924,,1275779.3995893118,198702.31252060167,-100707.45548747928
2025-06-30 18:57:24.893,,,,,1275779.389405231,198703.7288359701,-100707.37575730559
2025-06-30 18:57:29.894,,,2835745.9104104177,625167.1450595204,1275779.3792204512,198705.14526299745,-100707.2960201411
2025-06-30 18:57:34.894,,,1415718.041410188,,1275779.3690362016,198706.56163177616,-100707.21628564631
2025-06-30 18:57:39.894,,,4248761.350750893,,1275779.358852043,198707.97799895774,-100707.13655059627
2025-06-30 18:57:44.894,,898793.2398483969,1207977.9881877243,,1275779.3486677697,198709.3943928539,-100707.05681335775
2025-06-30 18:57:49.894,178830.97999340273,,5628677.828515915,,1275779.3384837655,198710.8107567894,-100706.9770771715
2025-06-30 18:57:54.894,,,1341353.2522609853,,1275779.3282998602,198712.22711915313,-100706.89734042302
2025-06-30 18:57:59.894,,,2054541.3897175319,,1275779.3181158814,198713.64350824003,-100706.81760154385
2025-06-30 18:58:04.894,,,2032690.1798831718,,1275779.3079319817,198715.05989568683,-100706.73786204978
2025-06-30 18:58:09.894,,,1988854.4364732103,,1275779.2977483815,198716.4762531945,-100706.65812361974
2025-06-30 18:58:14.894,41205.534118991694,,4010640.0284672417,,1275779.287564849,198717.89260908996,-100706.57838460879
2025-06-30 18:58:19.894,171599.38027328742,,4027290.2424773513,,1275779.2773812658,198719.3089915167,-100706.49864349776
2025-06-30 18:58:24.894,1015901.6018598237,,10594279.017843943,2302716.7252853047,1275779.267198103,198720.7253160305,-100706.41890495131
2025-06-30 18:58:29.894,,1327.8321671503911,,992616.4014894676,1275779.2570145132,198722.1417238738,-100706.33916109154
2025-06-30 18:58:34.894,,,3853797.035236951,846088.3675871858,1275779.2468311668,198723.55810155702,-100706.25941827026
2025-06-30 18:58:39.894,14363.404858050868,,5802866.431102845,,1275779.2366483123,198724.97442061087,-100706.17967804358
2025-06-30 18:58:44.894,36187.65256883821,1177125.7684125563,3559917.0649755765,,1275779.2264651959,198726.39079437483,-100706.0999341025
2025-06-30 18:58:49.894,,,,,1275779.2162823267,198727.80713763635,-100706.0201911641
2025-06-30 18:58:54.894,15762.653745833668,1629213.0810570142,2088353.0678642287,1165562.1469639908,1275779.2060995875,198729.2234801922,-100705.94044767582
2025-06-30 18:58:59.894,155353.80697944725,,5649482.672783265,,1275779.195916537,198730.6398780995,-100705.86070044077
2025-06-30 18:59:04.894,254333.4812272134,1474149.423509455,4276062.195028495,990652.5686710397,1275779.1857339402,198732.05621801844,-100705.78095583536
2025-06-30 18:59:09.895,57801.082185460604,,,1796095.5154645073,1275779.1755512888,198733.47258471814,-100705.7012090786
