Time,integrated_flux_mod,integrated_flux_s15_mod,integrated_flux_s16_mod,integrated_flux_s17_mod,integrated_flux_s18_mod,integrated_flux_s19_mod,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
2025-07-02 09:36:06.140,352083.33333333395,3733333.333333334,,25733333.333333332,,,1275565.2714136776,237460.7365517626,-98271.45168835821
2025-07-02 09:36:11.140,,,3600000.0,,,,1275565.2673674875,237462.10506357835,-98271.35632762453
2025-07-02 09:36:16.140,,,,4666666.666666664,,,1275565.2633215487,237463.4735736202,-98271.26096630446
2025-07-02 09:36:21.140,,400000.00000000093,,,,,1275565.2592761142,237464.8420270897,-98271.16560823855
2025-07-02 09:36:26.140,47916.666666666046,,1200000.0,5199999.999999996,,,1275565.2552308938,237466.2105334907,-98271.07024583861
2025-07-02 09:36:31.140,452083.3333333321,533333.333333334,,3066666.666666664,8033333.333333328,,1275565.2511861254,237467.57901068134,-98270.97488476423
2025-07-02 09:36:36.140,,133333.33333333395,,,,,1275565.2471414593,237468.9475407978,-98270.8795193084
2025-07-02 09:36:41.140,,5733333.333333334,1800000.0,,,,1275565.2430973705,237470.3160143546,-98270.78415709623
2025-07-02 09:36:46.140,,,6000000.0,,,1466666.666666666,1275565.2390536396,237471.68448605557,-98270.68879437045
2025-07-02 09:36:51.141,293750.0,5200000.0,,,,3133333.333333332,1275565.2350101164,237473.05298335233,-98270.59342916223
2025-07-02 09:36:56.141,3514583.333333334,8266666.666666668,4333333.333333334,11466666.66666666,19233333.33333333,,1275565.2309670537,237474.42145144072,-98270.49806525937
2025-07-02 09:37:01.141,13168750.000000002,6933333.333333334,33866666.666666664,48000000.0,78700000.0,19533333.333333336,1275565.226924226,237475.78994504974,-98270.40269890463
2025-07-02 09:37:06.141,39089583.33333333,19533333.333333336,62066666.66666667,239066666.66666666,192433333.3333333,51133333.33333333,1275565.2228819544,237477.15838213728,-98270.30733582948
2025-07-02 09:37:11.141,71652083.33333333,35533333.333333336,90733333.33333333,435600000.0,409633333.3333334,85933333.33333334,1275565.2188396961,237478.5268994989,-98270.2119664257
2025-07-02 09:37:16.141,41289583.33333332,31866666.66666667,46133333.333333336,263866666.6666667,192833333.3333333,49733333.33333333,1275565.2147980086,237479.89536001798,-98270.11660031002
2025-07-02 09:37:21.141,17960416.666666664,2066666.666666667,16200000.0,114133333.33333334,115633333.33333331,21400000.0,1275565.2107566015,237481.2638464205,-98270.0212317169
2025-07-02 09:37:26.141,3997916.666666664,5200000.0,2866666.666666666,18266666.66666666,22833333.33333333,6333333.333333332,1275565.2067157333,237482.63227637703,-98269.92586639826
2025-07-02 09:37:31.141,1414583.333333334,,4533333.333333334,8666666.666666664,6966666.666666664,,1275565.2026749267,237484.00075911515,-98269.83049668436
2025-07-02 09:37:36.141,231249.99999999907,4600000.0,,,,866666.666666666,1275565.198634685,237485.36921240046,-98269.73512833507
2025-07-02 09:37:41.141,2089583.333333334,666666.666666667,200000.0,7333333.333333328,26300000.0,2266666.666666666,1275565.1945945346,237486.73771829216,-98269.63975557528
2025-07-02 09:37:46.141,8972916.666666664,533333.333333334,11600000.0,39600000.0,67900000.0,23533333.333333336,1275565.1905550093,237488.1061393461,-98269.54438798514
2025-07-02 09:37:51.141,8206249.999999996,533333.333333334,3200000.0,72666666.66666667,50966666.666666664,8533333.333333334,1275565.1865155636,237489.4746140463,-98269.4490159949
2025-07-02 09:37:56.141,3702083.33333333,,1800000.0,25999999.999999996,26700000.0,1933333.333333332,1275565.1824766127,237490.8430598613,-98269.35364536499
2025-07-02 09:38:01.141,547916.666666667,,,3466666.666666664,22033333.33333333,3800000.0,1275565.1784379475,237492.2115315288,-98269.25827231031
2025-07-02 09:38:06.141,1743750.0,2133333.333333334,,2933333.3333333284,1099999.9999999963,6800000.0,1275565.174399693,237493.57997423364,-98269.16290057328
2025-07-02 09:38:11.141,,266666.666666667,,,,,1275565.170361839,237494.9484151315,-98269.06752832071
2025-07-02 09:38:16.141,,,,,,,1275565.1663240637,237496.3169085528,-98268.9721516305
2025-07-02 09:38:21.141,,466666.666666667,,,,66666.66666666605,1275565.1622869258,237497.68534563246,-98268.87677822949
2025-07-02 09:38:26.141,814583.3333333302,2400000.000000001,200000.0,,9233333.333333328,2333333.333333332,1275565.1582499228,237499.05380833131,-98268.78140232444
2025-07-02 09:38:31.141,,3533333.333333334,1133333.333333334,,,,1275565.1542135049,237500.42221438125,-98268.6860297005
2025-07-02 09:38:36.141,,,,,6966666.666666664,,1275565.1501772907,237501.79067343788,-98268.59065270476
2025-07-02 09:38:41.141,,,,2266666.666666664,,1533333.333333332,1275565.146141362,237503.15913061379,-98268.49527515128
2025-07-02 09:38:46.142,356250.00000000093,2200000.000000001,,,1499999.9999999963,1933333.333333332,1275565.1421058127,237504.52758596578,-98268.39989699738
2025-07-02 09:38:51.142,,,,6533333.333333328,,,1275565.1380706301,237505.8960121565,-98268.30452022736
2025-07-02 09:38:56.142,302083.33333333116,7800000.0,,21999999.999999996,,,1275565.1340358262,237507.2644365064,-98268.20914290292
2025-07-02 09:39:01.142,,,1000000.0,1333333.3333333284,,,1275565.130001391,237508.63285905134,-98268.11376498477
2025-07-02 09:39:06.142,802083.333333333,,1266666.666666666,11866666.66666666,433333.3333333321,,1275565.125967215,237510.00130712634,-98268.018384594
2025-07-02 09:39:11.142,802083.3333333312,1733333.333333334,,,5500000.0,,1275565.1219333317,237511.36975341037,-98267.92300364072
2025-07-02 09:39:16.142,,,,,,,1275565.1178998793,237512.7381704873,-98267.82762405399
2025-07-02 09:39:21.142,747916.6666666651,666666.666666667,,17333333.333333332,,,1275565.1138668882,237514.10658571954,-98267.73224394827
2025-07-02 09:39:26.142,,933333.333333334,666666.666666666,,,,1275565.1098340545,237515.4750265195,-98267.63686131604
2025-07-02 09:39:31.142,,2266666.666666667,66666.66666666605,,,,1275565.1058017144,237516.8434381123,-98267.54148006061
2025-07-02 09:39:36.142,418749.99999999814,,,4666666.666666664,2833333.333333332,4400000.0,1275565.1017695565,237518.21187529102,-98267.44609630422
2025-07-02 09:39:41.142,,,,7333333.333333328,,,1275565.0977379514,237519.58025588715,-98267.35071582533
2025-07-02 09:39:46.142,881250.0,2066666.666666667,,5733333.333333328,699999.9999999963,,1275565.0937064295,237520.94871675945,-98267.25532904867
2025-07-02 09:39:51.142,,,5466666.666666666,7199999.999999996,,,1275565.0896754654,237522.31712106336,-98267.15994554281
2025-07-02 09:39:56.142,214583.33333333023,733333.333333334,266666.66666666605,11066666.66666666,,,1275565.085644699,237523.6855509069,-98267.06455953431
2025-07-02 09:40:01.142,,,,,,,1275565.0816144173,237525.05395157303,-98266.96917495714
2025-07-02 09:40:06.142,,8133333.333333334,,,,,1275565.0775844792,237526.42235041613,-98266.87378976069
2025-07-02 09:40:11.142,,,,,,,1275565.0735546653,237527.79080219808,-98266.77840015542
2025-07-02 09:40:16.142,1947916.6666666642,2133333.333333334,6466666.666666666,15999999.999999996,,3466666.666666666,1275565.069525363,237529.1591974046,-98266.68301384355
2025-07-02 09:40:21.143,835416.6666666642,2533333.333333334,,,13366666.666666664,,1275565.0654963562,237530.5276181463,-98266.58762505715
2025-07-02 09:40:26.142,289583.3333333349,3000000.000000001,,266666.6666666642,,,1275565.0614678503,237531.89598235622,-98266.49223953194
2025-07-02 09:40:31.143,,266666.666666667,,4666666.666666664,,,1275565.0574395258,237533.2643994641,-98266.39684960112
2025-07-02 09:40:36.143,1235416.666666666,,,6666666.666666664,8300000.0,333333.3333333321,1275565.0534116437,237534.63278736634,-98266.30146108282
2025-07-02 09:40:41.143,164583.33333333302,,,,699999.9999999963,,1275565.0493838843,237536.001228234,-98266.20606809639
2025-07-02 09:40:46.143,385416.66666666605,2866666.666666667,1933333.333333334,2933333.3333333284,3766666.666666664,,1275565.045356866,237537.3695577475,-98266.11068223859
2025-07-02 09:40:51.143,606250.0,466666.666666667,,,20966666.666666664,,1275565.0413298728,237538.73799494712,-98266.01528820232
2025-07-02 09:40:56.143,764583.333333334,,,266666.6666666642,16166666.666666664,,1275565.0373033532,237540.1063755707,-98265.91989739484
2025-07-02 09:41:01.143,685416.666666666,3266666.666666667,,1199999.9999999963,,,1275565.0332770923,237541.47478174773,-98265.82450412837
2025-07-02 09:41:06.143,3127083.333333332,333333.33333333395,1200000.0,27466666.66666666,9633333.333333328,7799999.999999998,1275565.0292512584,237542.84315874067,-98265.72911216941
2025-07-02 09:41:11.143,11489583.333333334,3533333.333333334,12466666.666666668,95066666.66666667,54833333.333333336,14333333.333333334,1275565.0252257541,237544.21153389412,-98265.63371969154
2025-07-02 09:41:16.143,32797916.666666664,23200000.0,45266666.666666664,174933333.33333334,186166666.66666666,52066666.666666664,1275565.021200597,237545.5799072544,-98265.53832660126
2025-07-02 09:41:21.143,60656249.99999998,33333333.333333336,77533333.33333333,334000000.0,332433333.3333334,93400000.0,1275565.0171756619,237546.94833346934,-98265.44292919565
2025-07-02 09:41:26.143,37431250.0,12133333.333333334,36400000.0,248400000.0,220166666.66666666,54933333.33333333,1275565.0131512196,237548.3167031709,-98265.34753502539
2025-07-02 09:41:31.143,18406249.999999993,11466666.666666668,23466666.666666668,86133333.33333333,141233333.3333333,23866666.666666664,1275565.009127104,237549.68507103727,-98265.25214027008
2025-07-02 09:41:36.143,6522916.666666664,2133333.333333334,,48800000.0,40433333.333333336,6733333.333333332,1275565.0051033746,237551.05343708812,-98265.15674502647
2025-07-02 09:41:41.143,2431250.000000002,,1933333.333333334,3999999.9999999963,29900000.0,600000.0,1275565.00107987,237552.42185605975,-98265.06134536886
2025-07-02 09:41:46.143,,,1133333.333333334,,3233333.333333332,,1275564.997056671,237553.79024584685,-98264.96594699129
2025-07-02 09:41:51.143,3177083.333333336,,,15866666.66666666,25900000.0,6933333.333333332,1275564.9930339511,237555.15860643252,-98264.87055001792
2025-07-02 09:41:56.143,8210416.666666666,400000.00000000093,3000000.0,80666666.66666667,46299999.99999999,4933333.333333332,1275564.989011635,237556.52696517672,-98264.77515250864
2025-07-02 09:42:01.143,6706250.0,,6133333.333333334,23599999.999999996,65899999.99999999,10266666.666666666,1275564.9849895886,237557.89532211502,-98264.67975440406
2025-07-02 09:42:06.143,2927083.333333334,,,8933333.333333328,27633333.33333333,7999999.999999998,1275564.980967781,237559.26370460718,-98264.58435381565
2025-07-02 09:42:11.143,947916.666666666,466666.666666667,,2533333.3333333284,7366666.666666664,,1275564.9769464382,237560.63205791172,-98264.48895459191
2025-07-02 09:42:16.143,639583.333333333,6600000.0,,7866666.666666664,9233333.333333328,,1275564.972925334,237562.00043676997,-98264.39355288417
2025-07-02 09:42:21.143,777083.3333333321,,,18666666.66666666,,,1275564.9689046922,237563.3687864224,-98264.29815254122
2025-07-02 09:42:26.144,1368750.0,2066666.666666667,,8933333.333333328,,,1275564.9648843012,237564.73716159005,-98264.20274971932
2025-07-02 09:42:31.144,347916.6666666651,,,9733333.333333328,,266666.66666666605,1275564.9608643784,237566.10550759072,-98264.10734828934
2025-07-02 09:42:36.144,306250.0,2000000.000000001,,2266666.666666664,,3200000.0,1275564.9568446677,237567.4738791536,-98264.01194436359
2025-07-02 09:42:41.144,,,,,,,1275564.952825497,237568.84219413498,-98263.91654365591
2025-07-02 09:42:46.144,,,,,,266666.66666666605,1275564.9488064002,237570.2105894117,-98263.82113669819
2025-07-02 09:42:51.144,,2733333.333333334,,5333333.333333328,,,1275564.9447878653,237571.57892812553,-98263.7257329906
2025-07-02 09:42:56.144,302083.33333333395,,,9466666.666666664,,,1275564.9407695285,237572.94729238912,-98263.6303268146
2025-07-02 09:43:01.144,,,3400000.0,,,400000.0,1275564.9367516625,237574.31560011426,-98263.53492388083
2025-07-02 09:43:06.144,,,,533333.3333333284,1633333.333333332,,1275564.9327340948,237575.6839607322,-98263.43951658183
2025-07-02 09:43:11.144,,,,,33333.33333333209,,1275564.928716873,237577.052292154,-98263.3441106141
2025-07-02 09:43:16.144,,3666666.666666667,,5599999.999999996,,,1275564.9246998515,237578.42067647932,-98263.24870028679
2025-07-02 09:43:21.144,1197916.666666666,,,3199999.9999999963,21500000.0,,1275564.9206832482,237579.7890316521,-98263.15329129394
2025-07-02 09:43:26.144,589583.333333333,,,,18300000.0,2000000.0,1275564.916667227,237581.15733024286,-98263.05788557016
2025-07-02 09:43:31.144,,133333.33333333395,,,,,1275564.9126512667,237582.52568177032,-98262.96247544134
2025-07-02 09:43:36.144,,,3866666.666666666,4399999.999999996,,,1275564.9086358182,237583.8940040673,-98262.86706670094
2025-07-02 09:43:41.144,,1933333.333333334,,,,,1275564.9046205406,237585.26237925235,-98262.77165356203
2025-07-02 09:43:46.144,,3533333.333333334,,1866666.6666666642,,,1275564.9006059433,237586.63064292888,-98262.67624750087
2025-07-02 09:43:51.144,,,,,,,1275564.89659135,237587.99901457477,-98262.58083325118
