CME_Number,Detected_Start,Detected_End,Avg_Score,Strength
12,2025-07-03 22:29:41.341,2025-07-03 22:55:31.355,10.84,Weak
12,2025-07-03 23:06:06.360,2025-07-03 23:34:16.375,13.15,Weak
12,2025-07-03 23:45:46.381,2025-07-03 23:56:16.387,10.84,Weak
12,2025-07-04 00:06:31.392,2025-07-04 00:24:26.401,12.29,Weak
12,2025-07-04 00:54:06.417,2025-07-04 02:31:31.468,13.88,Weak
12,2025-07-04 03:21:26.495,2025-07-04 03:21:26.495,10.84,Weak
12,2025-07-04 03:41:36.505,2025-07-04 04:03:51.517,10.84,Weak
12,2025-07-04 04:29:51.531,2025-07-04 04:33:46.533,10.84,Weak
12,2025-07-04 04:54:31.544,2025-07-04 04:58:36.546,10.84,Weak
12,2025-07-04 06:12:11.585,2025-07-04 06:12:11.585,10.84,Weak
12,2025-07-04 06:29:26.594,2025-07-04 06:35:31.598,10.84,Weak
12,2025-07-04 07:37:21.631,2025-07-04 07:37:21.631,10.84,Weak
12,2025-07-04 07:52:11.640,2025-07-04 07:52:11.640,10.84,Weak
12,2025-07-04 08:06:06.647,2025-07-04 08:10:31.650,10.84,Weak
12,2025-07-04 08:40:41.667,2025-07-04 08:46:51.670,10.84,Weak
12,2025-07-04 09:03:31.679,2025-07-04 09:07:31.681,10.84,Weak
12,2025-07-04 09:20:36.689,2025-07-04 09:49:26.705,10.84,Weak
12,2025-07-04 10:12:01.718,2025-07-04 10:12:01.718,10.84,Weak
12,2025-07-04 10:36:56.732,2025-07-04 11:06:01.748,10.84,Weak
12,2025-07-04 11:16:41.754,2025-07-04 11:20:46.756,10.84,Weak
12,2025-07-04 11:30:51.762,2025-07-04 11:30:51.762,10.84,Weak
12,2025-07-04 11:45:51.770,2025-07-04 11:48:31.772,10.84,Weak
12,2025-07-04 12:19:31.790,2025-07-04 12:19:31.790,10.84,Weak
12,2025-07-04 12:31:36.796,2025-07-04 12:39:11.801,11.88,Weak
12,2025-07-04 13:16:56.822,2025-07-04 13:40:26.836,13.91,Weak
12,2025-07-04 13:59:36.847,2025-07-04 13:59:36.847,10.84,Weak
12,2025-07-04 14:17:26.857,2025-07-04 14:17:26.857,10.84,Weak
12,2025-07-04 14:28:11.863,2025-07-04 14:41:56.871,10.84,Weak
12,2025-07-04 14:56:36.879,2025-07-04 14:59:06.881,10.84,Weak
12,2025-07-04 15:18:11.891,2025-07-04 15:26:41.896,10.84,Weak
12,2025-07-04 15:48:26.908,2025-07-04 16:03:51.917,10.84,Weak
12,2025-07-04 16:16:46.924,2025-07-04 16:16:46.924,10.84,Weak
12,2025-07-04 16:45:56.940,2025-07-04 16:50:56.943,10.84,Weak
12,2025-07-04 17:02:26.949,2025-07-04 17:27:51.963,2368710.41,Strong
12,2025-07-04 17:43:11.971,2025-07-04 18:45:17.004,9153051.07,Strong
12,2025-07-04 18:59:47.011,2025-07-04 18:59:47.011,10.84,Weak
12,2025-07-04 19:27:32.026,2025-07-04 19:32:37.028,10.84,Weak
12,2025-07-04 19:48:42.037,2025-07-04 20:07:57.047,732761.73,Strong
12,2025-07-04 20:20:27.053,2025-07-04 20:20:27.053,10.84,Weak
12,2025-07-04 20:32:12.059,2025-07-04 21:54:47.103,4089095.42,Strong
12,2025-07-04 22:47:17.130,2025-07-04 23:02:57.138,10.84,Weak
12,2025-07-05 00:35:32.187,2025-07-05 01:57:32.230,8064204.92,Strong
12,2025-07-05 02:08:42.236,2025-07-05 03:16:12.271,4133508.95,Strong
12,2025-07-05 03:51:52.290,2025-07-05 03:51:52.290,10.84,Weak
12,2025-07-05 04:02:17.296,2025-07-05 05:05:42.330,8952454.89,Strong
12,2025-07-05 05:16:42.335,2025-07-05 05:56:12.357,1943838.22,Strong
12,2025-07-05 06:10:37.364,2025-07-05 06:15:02.367,10.84,Weak
12,2025-07-05 06:29:22.374,2025-07-05 06:29:22.374,10.84,Weak
12,2025-07-05 06:40:02.380,2025-07-05 06:53:07.387,10.84,Weak
12,2025-07-05 07:06:12.394,2025-07-05 07:06:12.394,10.84,Weak
